"cust","date"
1,1970-01-01
1,1975-01-01
1,1977-01-01
1,1981-01-01
1,1983-01-01
2,1970-01-01
2,1978-01-01
2,1979-01-01
2,1980-01-01
2,1982-01-01
2,1983-01-01
3,1970-01-01
3,1973-01-01
4,1970-01-01
5,1970-01-01
5,1971-01-01
5,1972-01-01
5,1973-01-01
6,1970-01-01
6,1974-01-01
7,1970-01-01
7,1972-01-01
7,1973-01-01
7,1974-01-01
7,1975-01-01
7,1976-01-01
7,1977-01-01
7,1978-01-01
7,1979-01-01
7,1980-01-01
7,1981-01-01
7,1982-01-01
7,1983-01-01
8,1970-01-01
9,1970-01-01
9,1971-01-01
9,1974-01-01
9,1975-01-01
10,1970-01-01
11,1970-01-01
11,1971-01-01
11,1972-01-01
11,1973-01-01
11,1974-01-01
11,1975-01-01
11,1976-01-01
11,1977-01-01
11,1978-01-01
11,1979-01-01
11,1980-01-01
11,1981-01-01
11,1982-01-01
11,1983-01-01
12,1970-01-01
12,1971-01-01
12,1972-01-01
13,1970-01-01
13,1971-01-01
13,1972-01-01
13,1973-01-01
13,1974-01-01
13,1976-01-01
13,1977-01-01
13,1978-01-01
13,1979-01-01
13,1980-01-01
13,1981-01-01
13,1982-01-01
13,1983-01-01
14,1970-01-01
14,1971-01-01
14,1972-01-01
14,1974-01-01
15,1970-01-01
15,1971-01-01
15,1972-01-01
16,1970-01-01
17,1970-01-01
18,1970-01-01
18,1971-01-01
19,1970-01-01
19,1971-01-01
19,1972-01-01
19,1973-01-01
19,1974-01-01
19,1975-01-01
20,1970-01-01
20,1971-01-01
20,1972-01-01
21,1970-01-01
21,1972-01-01
21,1973-01-01
21,1974-01-01
21,1975-01-01
21,1976-01-01
21,1977-01-01
21,1978-01-01
21,1979-01-01
21,1980-01-01
21,1981-01-01
21,1982-01-01
22,1970-01-01
22,1971-01-01
23,1970-01-01
23,1971-01-01
23,1972-01-01
23,1973-01-01
23,1974-01-01
23,1975-01-01
23,1976-01-01
23,1978-01-01
23,1979-01-01
23,1980-01-01
23,1981-01-01
23,1983-01-01
24,1970-01-01
25,1970-01-01
25,1971-01-01
26,1970-01-01
27,1970-01-01
27,1971-01-01
27,1972-01-01
27,1973-01-01
27,1974-01-01
27,1975-01-01
27,1976-01-01
28,1970-01-01
28,1972-01-01
28,1975-01-01
28,1976-01-01
28,1977-01-01
29,1970-01-01
29,1971-01-01
29,1972-01-01
29,1973-01-01
30,1970-01-01
30,1971-01-01
30,1972-01-01
30,1975-01-01
30,1976-01-01
31,1970-01-01
31,1973-01-01
32,1970-01-01
32,1971-01-01
32,1972-01-01
32,1973-01-01
32,1974-01-01
32,1975-01-01
32,1976-01-01
32,1977-01-01
32,1978-01-01
32,1979-01-01
32,1980-01-01
32,1981-01-01
32,1982-01-01
32,1983-01-01
33,1970-01-01
33,1972-01-01
33,1973-01-01
33,1974-01-01
33,1976-01-01
33,1979-01-01
33,1980-01-01
33,1981-01-01
33,1982-01-01
33,1983-01-01
34,1970-01-01
34,1973-01-01
35,1970-01-01
35,1971-01-01
